"ID","Make","Model","Year","Engine_Fuel_Type","Engine_HP","Engine_Cylinders","Transmission_Type","Driven_Wheels","Number_of_Doors","Market_Category","Vehicle_Size","Vehicle_Style","Highway_MPG","City_MPG","Age","Popularity","MSRP"
2368,"Chevrolet","Cavalier",2005,"regular_unleaded",140,4,"manual","front_wheel_drive",4,"Unknown","Compact","Sedan",33,23,12,1385,9.78188473077688
10847,"Nissan","Truck",1995,"regular_unleaded",134,4,"manual","rear_wheel_drive",2,"Unknown","Compact","Pickup",24,19,22,2009,7.60090245954208
1265,"Honda","Accord",2017,"regular_unleaded",185,4,"manual","front_wheel_drive",2,"Unknown","Midsize","Coupe",32,23,0,2202,10.1716044694931
5778,"Lamborghini","Huracan",2016,"premium_unleaded",580,10,"automated_manual","rear_wheel_drive",2,"Exotic,High-Performance","Compact","Coupe",21,14,1,1158,12.2050721451966
4696,"Pontiac","Firebird",2001,"premium_unleaded",310,8,"automatic","rear_wheel_drive",2,"Hatchback,Performance","Midsize","Sedan",23,16,16,210,10.0872663803281
1747,"Mazda","B-Series",2001,"regular_unleaded",150,6,"manual","rear_wheel_drive",2,"Unknown","Compact","Pickup",21,15,16,586,9.62410428289904
7006,"Mazda","MPV",2006,"regular_unleaded",200,6,"automatic","front_wheel_drive",4,"Unknown","Compact","Minivan",23,16,11,586,10.2581855435906
7272,"Lexus","NX_200t",2015,"premium_unleaded",235,4,"automatic","front_wheel_drive",4,"Crossover,Luxury","Midsize","SUV",28,22,2,454,10.5072569219449
807,"Saab","9-3_Griffin",2012,"flex-fuel",220,4,"manual","front_wheel_drive",2,"Flex_Fuel,Luxury","Compact","Convertible",33,20,5,376,10.7381342953698
4323,"Ford","Expedition",2016,"regular_unleaded",365,6,"automatic","rear_wheel_drive",4,"Unknown","Large","SUV",21,15,1,5657,10.7819725696744
6421,"Acura","Legend",1994,"regular_unleaded",200,6,"manual","front_wheel_drive",4,"Luxury","Midsize","Sedan",23,16,23,204,7.61480536471107
4762,"Ford","Flex",2016,"regular_unleaded",287,6,"automatic","front_wheel_drive",4,"Crossover","Large","Wagon",23,16,1,5657,10.2955296403122
554,"FIAT","500",2016,"premium_unleaded",160,4,"manual","front_wheel_drive",2,"Factory_Tuner,Performance","Compact","Convertible",34,28,1,819,10.1922315609343
9612,"Chevrolet","Silverado_1500",2017,"flex-fuel",285,6,"automatic","four_wheel_drive",4,"Flex_Fuel","Large","Pickup",22,17,0,1385,10.647209019059
241,"Nissan","300ZX",1994,"regular_unleaded",222,6,"manual","rear_wheel_drive",2,"Performance","Compact","Coupe",22,16,23,2009,7.81923445385907
7347,"Subaru","Outback",2017,"regular_unleaded",175,4,"automatic","all_wheel_drive",4,"Crossover","Midsize","SUV",32,25,0,640,10.4911353189034
6508,"Oldsmobile","LSS",1997,"regular_unleaded",240,6,"automatic","front_wheel_drive",4,"Unknown","Large","Sedan",24,16,20,26,7.66669020008009
11833,"GMC","Yukon_Denali",2000,"regular_unleaded",255,8,"automatic","four_wheel_drive",4,"Luxury","Large","SUV",15,11,17,549,8.28121766128665
446,"BMW","4_Series",2016,"premium_unleaded",300,6,"automatic","rear_wheel_drive",2,"Luxury,Performance","Midsize","Convertible",31,20,1,3916,10.9499289688753
125,"BMW","3_Series_Gran_Turismo",2015,"premium_unleaded",300,6,"automatic","all_wheel_drive",4,"Hatchback,Luxury,Performance","Midsize","Sedan",30,20,2,3916,10.7632079329219
10022,"Cadillac","STS-V",2007,"premium_unleaded",469,8,"automatic","rear_wheel_drive",4,"Factory_Tuner,Luxury,High-Performance","Large","Sedan",19,12,10,1624,11.2253767169637
6163,"GMC","Jimmy",1999,"regular_unleaded",190,6,"automatic","rear_wheel_drive",4,"Unknown","Midsize","SUV",19,14,18,549,7.77359446736019
9478,"Chevrolet","Silverado_1500_Classic",2007,"flex-fuel",295,8,"automatic","four_wheel_drive",4,"Flex_Fuel","Large","Pickup",17,13,10,1385,10.4215370213914
1148,"GMC","Acadia",2015,"regular_unleaded",288,6,"automatic","all_wheel_drive",4,"Crossover","Midsize","SUV",23,16,2,549,10.8135589845964
9675,"Mercedes-Benz","SLK-Class",2014,"premium_unleaded",415,8,"automatic","rear_wheel_drive",2,"Factory_Tuner,Luxury,High-Performance","Compact","Convertible",28,19,3,617,11.140774235892
6491,"Lexus","LS_460",2017,"premium_unleaded",386,8,"automatic","rear_wheel_drive",4,"Luxury,Performance","Large","Sedan",24,16,0,454,11.1916176648688
9135,"Toyota","Sequoia",2017,"regular_unleaded",381,8,"automatic","rear_wheel_drive",4,"Unknown","Large","SUV",17,13,0,2031,10.7245880974065
5816,"Chevrolet","Impala_Limited",2014,"flex-fuel",300,6,"automatic","front_wheel_drive",4,"Flex_Fuel","Large","Sedan",30,18,3,1385,10.1592918860899
2695,"Mercedes-Benz","CLA-Class",2017,"premium_unleaded",208,4,"automatic","all_wheel_drive",4,"Luxury","Midsize","Sedan",32,23,0,617,10.4458118433615
5225,"Lamborghini","Gallardo",2013,"premium_unleaded",570,10,"automated_manual","all_wheel_drive",2,"Exotic,Factory_Tuner,High-Performance","Compact","Convertible",20,13,4,1158,12.4211840251471
8398,"Toyota","RAV4",2017,"regular_unleaded",176,4,"automatic","all_wheel_drive",4,"Crossover","Midsize","SUV",28,22,0,2031,10.1777043740343
10272,"Chevrolet","Tahoe",2017,"flex-fuel",355,8,"automatic","four_wheel_drive",4,"Flex_Fuel,Performance","Large","SUV",22,16,0,1385,11.0826039808632
5774,"Lexus","HS_250h",2012,"regular_unleaded",187,4,"automatic","front_wheel_drive",4,"Luxury,Hybrid","Midsize","Sedan",34,35,5,454,10.5194836739077
1094,"Audi","A5",2016,"premium_unleaded",220,4,"manual","all_wheel_drive",2,"Luxury","Midsize","Coupe",32,22,1,3105,10.6090572530946
8343,"Ford","Ranger",2009,"regular_unleaded",207,6,"manual","four_wheel_drive",2,"Unknown","Compact","Pickup",19,15,8,5657,9.99012385919568
6798,"Chevrolet","Metro",2000,"regular_unleaded",79,4,"manual","front_wheel_drive",4,"Unknown","Compact","Sedan",38,31,17,1385,7.60090245954208
3121,"Honda","Crosstour",2015,"regular_unleaded",278,6,"automatic","front_wheel_drive",4,"Crossover,Hatchback","Midsize","Sedan",30,20,2,2202,10.4896061603375
6323,"Mitsubishi","Lancer_Evolution",2015,"premium_unleaded",291,4,"automated_manual","all_wheel_drive",4,"Factory_Tuner,Performance","Compact","Sedan",22,17,2,436,10.5711887117646
2516,"Chevrolet","Chevy_Van",1998,"regular_unleaded",200,6,"automatic","rear_wheel_drive",3,"Unknown","Large","Van",18,13,19,1385,7.65728279297819
6654,"Chevrolet","Malibu_Hybrid",2008,"regular_unleaded",164,4,"automatic","front_wheel_drive",4,"Hybrid","Midsize","Sedan",32,24,9,1385,10.07069547152
11127,"Volvo","V60",2015,"regular_unleaded",240,4,"automatic","front_wheel_drive",4,"Luxury","Midsize","Wagon",37,25,2,870,10.4898843631492
5113,"Infiniti","G_Sedan",2012,"premium_unleaded",328,6,"automatic","all_wheel_drive",4,"Luxury,Performance","Midsize","Sedan",25,18,5,190,10.5584135202759
6884,"Lincoln","MKX",2016,"regular_unleaded",303,6,"automatic","all_wheel_drive",4,"Crossover,Luxury","Midsize","SUV",26,17,1,61,10.9325711118854
4779,"Ford","Focus_ST",2016,"premium_unleaded",252,4,"manual","front_wheel_drive",4,"Hatchback,Factory_Tuner,Performance","Compact","Sedan",31,22,1,5657,10.103362476911
6472,"Land_Rover","LR4",2016,"premium_unleaded",340,6,"automatic","four_wheel_drive",4,"Luxury","Midsize","SUV",19,15,1,258,10.9205281875104
9629,"Chevrolet","Silverado_1500",2017,"regular_unleaded",355,8,"automatic","four_wheel_drive",4,"Unknown","Large","Pickup",22,15,0,1385,10.9082469323979
4111,"Cadillac","Escalade_ESV",2015,"flex-fuel",420,8,"automatic","four_wheel_drive",4,"Flex_Fuel,Luxury","Large","SUV",20,14,2,1624,11.2717452261699
5681,"Pontiac","GTO",2004,"premium_unleaded",350,8,"automatic","rear_wheel_drive",2,"High-Performance","Midsize","Coupe",20,15,13,210,10.3670643237015
8716,"Chevrolet","S-10_Blazer",1992,"regular_unleaded",160,6,"manual","four_wheel_drive",2,"Unknown","Compact","SUV",20,15,25,1385,7.60090245954208
11496,"BMW","X3",2016,"premium_unleaded",240,4,"automatic","all_wheel_drive",4,"Crossover,Luxury","Midsize","SUV",28,21,1,3916,10.6201070892812
2350,"Cadillac","Catera",2001,"premium_unleaded",200,6,"automatic","rear_wheel_drive",4,"Luxury","Midsize","Sedan",22,16,16,1624,10.3515331081794
1378,"Audi","allroad_quattro",2005,"regular_unleaded",250,6,"automatic","all_wheel_drive",4,"Crossover,Luxury,Performance","Midsize","Wagon",20,15,12,3105,10.6028652828467
11363,"Bugatti","Veyron_16.4",2008,"premium_unleaded",1001,16,"automated_manual","all_wheel_drive",2,"Exotic,High-Performance","Compact","Coupe",14,8,9,820,14.5410774928803
1365,"Oldsmobile","Alero",2004,"regular_unleaded",140,4,"automatic","front_wheel_drive",4,"Unknown","Midsize","Sedan",31,21,13,26,9.92500439599838
2761,"Chevrolet","Colorado",2012,"regular_unleaded",185,4,"manual","four_wheel_drive",2,"Unknown","Compact","Pickup",24,18,5,1385,9.95132488195029
6504,"Lincoln","LS",2005,"premium_unleaded",232,6,"automatic","rear_wheel_drive",4,"Luxury,Performance","Midsize","Sedan",24,17,12,61,10.5012245482914
5636,"Volkswagen","GTI",2012,"premium_unleaded",200,4,"automated_manual","front_wheel_drive",4,"Hatchback,Performance","Compact","Sedan",33,24,5,873,10.2390665331801
1915,"Volkswagen","Beetle",2015,"premium_unleaded",210,4,"automated_manual","front_wheel_drive",2,"Hatchback,Performance","Compact","Sedan",30,24,2,873,10.2824375549885
3585,"Land_Rover","Discovery_Sport",2016,"premium_unleaded",240,4,"automatic","all_wheel_drive",4,"Crossover,Luxury","Midsize","SUV",26,20,1,258,10.6443528943042
1769,"Subaru","B9_Tribeca",2007,"premium_unleaded",245,6,"automatic","all_wheel_drive",4,"Crossover","Midsize","SUV",21,16,10,640,10.5266145483893
11267,"Chevrolet","Venture",2005,"regular_unleaded",185,6,"automatic","front_wheel_drive",4,"Unknown","Midsize","Minivan",24,17,12,1385,10.1974622846109
9408,"GMC","Sierra_1500HD",2006,"regular_unleaded",300,8,"automatic","four_wheel_drive",4,"Unknown","Large","Pickup",16,13,11,549,10.5057522366189
8013,"Volkswagen","Rabbit",2009,"regular_unleaded",170,5,"automatic","front_wheel_drive",4,"Hatchback","Compact","Sedan",29,20,8,873,9.86993076900728
7878,"Audi","Q7",2014,"premium_unleaded",280,6,"automatic","all_wheel_drive",4,"Crossover,Luxury","Large","SUV",22,16,3,3105,10.891168280497
8858,"Volvo","S40",2009,"premium_unleaded",168,5,"automatic","front_wheel_drive",4,"Luxury","Compact","Sedan",31,20,8,870,10.2594122150842
7957,"Infiniti","QX",2012,"premium_unleaded",400,8,"automatic","rear_wheel_drive",4,"Luxury","Large","SUV",20,14,5,190,11.0020998412042
11009,"Toyota","Tundra",2016,"regular_unleaded",381,8,"automatic","rear_wheel_drive",4,"Unknown","Large","Pickup",18,13,1,2031,10.3936001347046
8305,"Land_Rover","Range_Rover",2014,"premium_unleaded",510,8,"automatic","four_wheel_drive",4,"Luxury,High-Performance","Large","SUV",19,13,3,258,11.8259097202842
3456,"Dodge","Dakota",2009,"regular_unleaded",210,6,"automatic","four_wheel_drive",4,"Flex_Fuel","Compact","Pickup",18,14,8,1851,10.2872181684983
2243,"Toyota","Camry_Solara",2008,"regular_unleaded",210,6,"automatic","front_wheel_drive",2,"Unknown","Midsize","Convertible",26,18,9,2031,10.2992389684567
10005,"Dodge","Stratus",2004,"regular_unleaded",200,6,"automatic","front_wheel_drive",4,"Unknown","Midsize","Sedan",26,19,13,1851,9.99766072255338
10127,"Suzuki","SX4",2011,"regular_unleaded",148,4,"automatic","front_wheel_drive",4,"Crossover,Hatchback","Compact","Sedan",30,23,6,481,9.78689755492675
3021,"Chevrolet","Corvette",2017,"premium_unleaded",460,8,"manual","rear_wheel_drive",2,"High-Performance","Compact","Convertible",25,16,0,1385,11.2796684444965
5896,"Subaru","Impreza",2017,"regular_unleaded",152,4,"manual","all_wheel_drive",4,"Hatchback","Compact","Sedan",35,27,0,640,10.0210483412753
5833,"Chevrolet","Impala",2016,"flex-fuel",305,6,"automatic","front_wheel_drive",4,"Flex_Fuel,Performance","Large","Sedan",29,19,1,1385,10.4784141017086
1722,"Mazda","B-Series_Pickup",2000,"flex-fuel",143,6,"manual","rear_wheel_drive",2,"Flex_Fuel","Compact","Pickup",21,16,17,586,8.01697774676226
3096,"Chrysler","Crossfire",2006,"premium_unleaded",215,6,"manual","rear_wheel_drive",2,"Performance","Compact","Convertible",23,15,11,1013,10.4395422303479
3064,"Honda","CR-V",2016,"regular_unleaded",185,4,"automatic","all_wheel_drive",4,"Crossover","Compact","SUV",31,25,1,2202,10.1284294857917
9905,"Kia","Spectra",2008,"regular_unleaded",138,4,"automatic","front_wheel_drive",4,"Unknown","Compact","Sedan",32,24,9,1720,9.5392843421766
91,"Nissan","200SX",1997,"regular_unleaded",140,4,"manual","front_wheel_drive",2,"Performance","Compact","Coupe",29,21,20,2009,7.60090245954208
5621,"Volkswagen","GTI",2012,"premium_unleaded",200,4,"automated_manual","front_wheel_drive",2,"Hatchback,Performance","Compact","Sedan",33,24,5,873,10.2173854671188
3764,"Toyota","ECHO",2004,"regular_unleaded",108,4,"automatic","front_wheel_drive",4,"Unknown","Compact","Sedan",36,28,13,2031,9.36606124697296
2651,"Chevrolet","C/K_1500_Series",1998,"regular_unleaded",200,6,"manual","rear_wheel_drive",2,"Unknown","Large","Pickup",21,16,19,1385,7.9672801789422
799,"Toyota","86",2017,"premium_unleaded",205,4,"manual","rear_wheel_drive",2,"Performance","Compact","Coupe",28,21,0,2031,10.175611726072
1723,"Mazda","B-Series_Pickup",2000,"flex-fuel",143,6,"manual","four_wheel_drive",2,"Flex_Fuel","Compact","Pickup",20,15,17,586,8.06777619577889
6584,"Infiniti","M30",1990,"regular_unleaded",162,6,"automatic","rear_wheel_drive",2,"Luxury","Midsize","Coupe",23,17,27,190,7.60090245954208
9277,"GMC","Sierra_1500_Classic",2007,"regular_unleaded",295,8,"automatic","rear_wheel_drive",4,"Unknown","Large","Pickup",19,14,10,549,10.3312032695791
10451,"Nissan","Titan",2015,"regular_unleaded",317,8,"automatic","four_wheel_drive",4,"Flex_Fuel","Large","Pickup",17,12,2,2009,10.5498051457393
5607,"Volkswagen","GTI",2012,"premium_unleaded",200,4,"manual","front_wheel_drive",4,"Hatchback,Performance","Compact","Sedan",31,21,5,873,10.1102984492294
6309,"Buick","LaCrosse",2016,"flex-fuel",304,6,"automatic","all_wheel_drive",4,"Flex_Fuel,Performance","Large","Sedan",26,17,1,155,10.6133689320872
5744,"Toyota","Highlander",2016,"regular_unleaded",270,6,"automatic","all_wheel_drive",4,"Crossover","Midsize","SUV",24,18,1,2031,10.6543138446828
11096,"Aston_Martin","V12_Vanquish",2006,"premium_unleaded",520,12,"automated_manual","rear_wheel_drive",2,"Exotic,Factory_Tuner,High-Performance","Compact","Coupe",16,10,11,259,12.4684369099977
3604,"Cadillac","DTS",2010,"premium_unleaded",275,8,"automatic","front_wheel_drive",4,"Luxury","Large","Sedan",23,15,7,1624,10.8498224057587
7005,"Mazda","MPV",2005,"regular_unleaded",200,6,"automatic","front_wheel_drive",4,"Unknown","Compact","Minivan",23,16,12,586,10.0410732154887
6924,"Tesla","Model_S",2014,"electric",156,0,"direct_drive","all_wheel_drive",4,"Exotic,High-Performance","Large","Sedan",94,86,3,1391,11.556942350387
10547,"Volkswagen","Touareg",2016,"diesel",240,6,"automatic","all_wheel_drive",4,"Crossover,Diesel","Midsize","SUV",29,21,1,873,10.8246663184831
2903,"Lincoln","Continental",2017,"regular_unleaded",305,6,"automatic","front_wheel_drive",4,"Luxury","Large","Sedan",26,17,0,61,10.7045918746012
2970,"Chevrolet","Corvette",2015,"premium_unleaded",460,8,"manual","rear_wheel_drive",2,"High-Performance","Compact","Coupe",29,17,2,1385,11.0691352425404
1290,"Oldsmobile","Achieva",1997,"regular_unleaded",150,4,"unknown","front_wheel_drive",2,"Unknown","Midsize","Coupe",29,19,20,26,7.60090245954208
9321,"GMC","Sierra_1500",2015,"regular_unleaded",355,8,"automatic","rear_wheel_drive",4,"Unknown","Large","Pickup",23,16,2,549,10.6841876301039
736,"BMW","7_Series",2017,"premium_unleaded",320,6,"automatic","rear_wheel_drive",4,"Luxury,Performance","Large","Sedan",29,21,0,3916,11.308358299229
10146,"Suzuki","SX4",2013,"regular_unleaded",148,4,"automatic","front_wheel_drive",4,"Unknown","Compact","Sedan",32,25,4,481,9.78970276322951
817,"Saab","9-3_Griffin",2012,"premium_unleaded",220,4,"automatic","all_wheel_drive",4,"Luxury","Midsize","Sedan",29,18,5,376,10.5217764795516
11061,"Toyota","Tundra",2017,"regular_unleaded",381,8,"automatic","four_wheel_drive",4,"Unknown","Large","Pickup",17,13,0,2031,10.4954322275869
2109,"Mercedes-Benz","C36_AMG",1996,"regular_unleaded",276,6,"automatic","rear_wheel_drive",4,"Factory_Tuner,Luxury,Performance","Compact","Sedan",20,16,21,617,8.29304913976844
8798,"GMC","S-15_Jimmy",1991,"regular_unleaded",150,6,"manual","rear_wheel_drive",2,"Unknown","Compact","SUV",22,15,26,549,7.60090245954208
4973,"Nissan","Frontier",2016,"regular_unleaded",261,6,"automatic","four_wheel_drive",4,"Unknown","Compact","Pickup",21,15,1,2009,10.1942897523242
6158,"GMC","Jimmy",1999,"regular_unleaded",190,6,"automatic","four_wheel_drive",4,"Unknown","Midsize","SUV",19,14,18,549,7.85941315469358
6894,"Lincoln","MKX",2017,"regular_unleaded",303,6,"automatic","front_wheel_drive",4,"Crossover,Luxury","Midsize","SUV",25,17,0,61,10.6346528002836
3016,"Chevrolet","Corvette",2017,"premium_unleaded",460,8,"manual","rear_wheel_drive",2,"High-Performance","Compact","Coupe",25,16,0,1385,11.1548924564219
1914,"Volkswagen","Beetle",2015,"regular_unleaded",170,4,"automatic","front_wheel_drive",2,"Hatchback","Compact","Sedan",33,25,2,873,10.1147609312799
7745,"Chrysler","PT_Cruiser",2008,"regular_unleaded",150,4,"manual","front_wheel_drive",4,"Unknown","Compact","Wagon",26,21,9,1013,9.67846724120906
9643,"Chevrolet","Silverado_1500",2017,"flex-fuel",285,6,"automatic","four_wheel_drive",4,"Flex_Fuel","Large","Pickup",22,17,0,1385,10.5278204170957
5327,"Volkswagen","GLI",2008,"premium_unleaded",200,4,"automated_manual","front_wheel_drive",4,"Performance","Compact","Sedan",29,22,9,873,10.1415197163441
1016,"Audi","A3",2015,"diesel",150,4,"automated_manual","front_wheel_drive",4,"Diesel,Luxury","Compact","Sedan",43,31,2,3105,10.3920675673548
626,"Mazda","5",2013,"regular_unleaded",157,4,"manual","front_wheel_drive",4,"Unknown","Compact","Minivan",28,21,4,586,9.90048304351583
10145,"Suzuki","SX4",2013,"regular_unleaded",148,4,"automatic","all_wheel_drive",4,"Crossover,Hatchback","Compact","Sedan",29,23,4,481,9.86136262623546
8920,"Volvo","S70",1998,"regular_unleaded",168,5,"manual","front_wheel_drive",4,"Luxury","Midsize","Sedan",27,17,19,870,7.60090245954208
8815,"GMC","S-15",1990,"regular_unleaded",160,6,"manual","four_wheel_drive",2,"Unknown","Compact","Pickup",19,15,27,549,7.60090245954208
4057,"Chevrolet","Equinox",2015,"regular_unleaded",182,4,"automatic","front_wheel_drive",4,"Crossover,Flex_Fuel","Compact","SUV",32,22,2,1385,10.1723689955242
9710,"Pontiac","Solstice",2009,"premium_unleaded",260,4,"manual","rear_wheel_drive",2,"Factory_Tuner,High-Performance","Compact","Convertible",28,19,8,210,10.2916369384346
305,"Ferrari","360",2004,"premium_unleaded",400,8,"manual","rear_wheel_drive",2,"Exotic,High-Performance","Compact","Coupe",15,10,13,2774,11.900443822577
10278,"Ford","Taurus_X",2008,"regular_unleaded",260,6,"automatic","front_wheel_drive",4,"Crossover","Large","Wagon",24,16,9,5657,10.3336452732347
11147,"Aston_Martin","V8_Vantage",2014,"premium_unleaded",430,8,"manual","rear_wheel_drive",2,"Exotic,High-Performance","Compact","Convertible",19,13,3,259,11.8858673813728
4049,"Suzuki","Equator",2012,"regular_unleaded",152,4,"manual","rear_wheel_drive",4,"Unknown","Compact","Pickup",23,19,5,481,9.86780856007911
1824,"Volkswagen","Beetle_Convertible",2015,"premium_unleaded",210,4,"automated_manual","front_wheel_drive",2,"Performance","Compact","Convertible",29,23,2,873,10.3733349195736
11871,"GMC","Yukon",2016,"flex-fuel",355,8,"automatic","four_wheel_drive",4,"Flex_Fuel,Performance","Large","SUV",22,16,1,549,10.8457383860798
1314,"Suzuki","Aerio",2005,"regular_unleaded",155,4,"automatic","all_wheel_drive",4,"Unknown","Compact","Sedan",26,21,12,481,9.77275224721361
1829,"Volkswagen","Beetle_Convertible",2015,"premium_unleaded",210,4,"automated_manual","front_wheel_drive",2,"Performance","Compact","Convertible",29,23,2,873,10.4658139491645
3757,"Mercedes-Benz","E55_AMG",1999,"regular_unleaded",349,8,"automatic","rear_wheel_drive",4,"Factory_Tuner,Luxury,Performance","Midsize","Sedan",21,15,18,617,8.67897184697886
1822,"Volkswagen","Beetle_Convertible",2014,"diesel",140,4,"manual","front_wheel_drive",2,"Diesel","Compact","Convertible",41,28,3,873,10.2714238487519
286,"Nissan","350Z",2008,"regular_unleaded",306,6,"automatic","rear_wheel_drive",2,"High-Performance","Compact","Coupe",24,17,9,2009,10.3484938352648
4724,"Honda","Fit",2017,"regular_unleaded",130,4,"manual","front_wheel_drive",4,"Hatchback","Compact","Sedan",36,29,0,2202,9.679718805828
3137,"Ford","Crown_Victoria",2009,"flex-fuel",224,8,"automatic","rear_wheel_drive",4,"Flex_Fuel","Large","Sedan",24,16,8,5657,10.2820952064744
2222,"Toyota","Camry_Solara",2006,"regular_unleaded",157,4,"automatic","front_wheel_drive",2,"Unknown","Midsize","Coupe",30,20,11,2031,10.0607049537342
6989,"Mitsubishi","Montero_Sport",2003,"regular_unleaded",197,6,"automatic","four_wheel_drive",4,"Unknown","Midsize","SUV",17,14,14,436,10.2964413867072
11000,"Toyota","Tundra",2016,"regular_unleaded",381,8,"automatic","rear_wheel_drive",4,"Unknown","Large","Pickup",18,13,1,2031,10.4036565961136
7541,"Nissan","Pathfinder",2017,"regular_unleaded",284,6,"automatic","four_wheel_drive",4,"Crossover","Large","SUV",26,19,0,2009,10.6864754370959
